27294457	Groen Agro Control	Dienstverlening voor de akker- en/of tuinbouw	161.0
77358252	JOHAN	Bouwmarkten en andere winkels in bouwmaterialen algemeen assortiment	47528.0
54267412	Roadmap	Overige telecommunicatie	6190.0
34091331	KLM Health Services	Arbobegeleiding en reïntegratie	86922.0
20123000	Norea	Overige keuring en controle	71203.0
27157510	HIGH SECURITY International	Groothandel in meet- en regelapparaten	46695.0
64459918	Hamilton	Detailhandel via internet in kleding en mode-artikelen	47914.0
20078126	Maltha Glasrecycling	Gesorteerd materiaal voorbereiden tot recycling	3832.0
14600086	Koninklijke Mosa	Opslag in distributiecentra en overige opslag (niet in tanks, koelhuizen e.d.)	52109.0
33160461	Jeveka	Groothandel in ijzer- en metaalwaren	46741.0
14618150	Lawter Maastricht	Vervaardiging van overige organische basischemicaliën (geen petrochemische producten)	20149.0
04020132	Vepa Kantoor- en Projektmeubelen	Vervaardiging van bedrijfsmeubels	31012.0
29011939	Gouda Refractories	Vervaardiging van vuurvaste keramische producten	2320.0
24420135	Gate terminal	Participatiemaatschappijen	64923.0
02084889	Gasunie Transport Services	Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water	3512.0
74337017	Yacht Technology	Reisbemiddeling	7911.0
18106742	Van Oord	Wegenbouw	42111.0
20118901	ASC Group	Verhuur van sport- en recreatieartikelen	7721.0
02061622	HaemoScan	Speur- en ontwikkelingswerk op het gebied van gezondheid en voeding (niet biotechnologisch)	72193.0
01099049	Accell Services	Beheer van computerfaciliteiten	6203.0
61067083	Steuma Instruments	Vervaardiging van meet-, regel-, navigatie- en controleapparatuur	2651.0
40506039	TVVL	Educatie	85322.0
40532874	Koninklijke Nederlandse Krachtsport en Fitnessbond	Overkoepelende organen en samenwerkings- en adviesorganen op het gebied van sport	93196.0
52963969	getgripp	Handel in eigen onroerend goed	6810.0
62977199	molsbergen development	Handel in eigen onroerend goed	6810.0
02020914	rixona	Vervaardiging van aardappelproducten	1031.0
34127784	stichting doen	Lokaal welzijnswerk	88993.0
56502044	ongehinderd	Overige dienstverlenende activiteiten op het gebied van informatie (rest)	6399.0
34180285	pricewaterhousecoopers	Registeraccountants	69201.0
64982718	coöperatie morgen groene energie ua	Productie van elektriciteit door zonnecellen, warmtepompen en waterkracht	35113.0
22034614	dwt groep	Loodgieters- en fitterswerk; installatie van sanitair	43221.0
71908463	fouadon	Productie van elektriciteit door zonnecellen, warmtepompen en waterkracht	35113.0
27276849	krijgsman groep	Commissionairs en makelaars in effecten, beleggingsadviseurs e.d.	6612.0
08127255	oxycom fresh air	Vervaardiging van machines en apparaten voor industriële koeltechniek en klimaatregeling	2825.0
68899009	Stichting WEW	Overige ideële organisaties (rest)	94996.0
24223823	itho daalderop	Handelsbemiddeling in machines, technische benodigdheden, schepen en vliegtuigen	4614.0
50570951	Itho Daalderop	Groothandel in machines en apparaten voor de warmte-, koel- en vriestechniek	46692.0
09107206	Howden Thomassen Compressors	Vervaardiging van niet-hydraulische pompen en compressoren	2813.0
41110210	Katholiek Onderwijs Vlaanderen	Basisonderwijs voor leerplichtigen	85201.0
60287241	PCG	Detailhandel via internet in een algemeen assortiment non-food	47919.0
14103106	Thomas Regout	Groothandel in overige machines, apparaten en toebehoren voor industrie en handel (rest)	46699.0
24417712	KoreNet	Behandeling van onschadelijk afval	3821.0
34216182	Houthoff Buruma	Notariskantoren	69103.0
17078392	DELA Uitvaartverzorging	Uitvaartverzorging	96031.0
24323732	Nederlandse Orde van Advocaten	Advocatenkantoren, bewindvoerders en curatoren	69101.0
24293514	Sound of Data	Overige telecommunicatie	6190.0
53902394	Tytsjerksteradiel	Overig maatschappelijk advies, gemeenschapshuizen en samenwerkingsorganen op het gebied van welzijn	88999.0
24190036	Secured Documents	Overige drukkerijen (rest)	18129.0
75242060	SRK Rechtsbijstand	Rechtskundige adviesbureaus	69102.0
01070263	Omrin Afvalsturing Friesland	Behandeling van onschadelijk afval	3821.0
08003231	Coldenhove Papier	Vervaardiging van grafisch papier en karton	17121.0
02063506	Paperfoam	Vervaardiging van papier en karton voor verpakking	17122.0
62839306	Institute for Positive Health	Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten	86929.0
33249233	Ymere	Overig maatschappelijk advies, gemeenschapshuizen en samenwerkingsorganen op het gebied van welzijn	88999.0
41212857	Ymere	Verhuur van overige woonruimte	68203.0
30187022	Bizzy Diamond	Groothandel in overige consumentenartikelen (non-food) (rest)	46499.0
10019285	Lincoln Electric Smitweld	Vervaardiging van artikelen van draad en van kettingen en veren	2593.0
58071792	Kobelco Construction Machinery Europe	Groothandel in machines voor de bouw	4663.0
35027843	MANN+HUMMEL Vokes Air	Groothandel in overige machines, apparaten en toebehoren voor industrie en handel (rest)	46699.0
09049659	Parenco Hout	Groothandel in hout en plaatmateriaal	46731.0
27179488	CompositesNL	Vervaardiging van synthetische en kunstmatige vezels	2060.0
30157532	Büchel	Vervaardiging van meet-, regel-, navigatie- en controleapparatuur	2651.0
64619591	Stichting Bodembeheer Nederland	Sanering en overig afvalbeheer	3900.0
50845764	Panaxea	Biotechnologisch speur- en ontwikkelingswerk op het gebied van medische producten en farmaceutische processen en van voeding	72112.0
65533305	Segway Europe	Groothandel in overige consumentenartikelen (non-food) (rest)	46499.0
